Country,Nov2021,Dec2021,Jan2022,Feb2022,Mar2022,Apr2022,May2022,Jun2022,Jul2022,Aug2022,Sep2022,Oct2022,Nov2022,Dec2022,Jan2023
Cyprus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denmark,20,15,41,0,36,8,7,8,8,6,0,8,15,0,0
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt (Arab Rep.),118,94,77,101,77,94,61,75,59,58,29,57,106,59,59
El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea,65,105,116,68,87,122,66,86,0,0,0,0,0,0,0
Estonia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eswatini,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,0,0,0,197,0,0,0,0,0,0,0,0,0,0,0
Gambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Germany,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0
Greece,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guatemala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hong Kong China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hungary,9,6,9,0,2,5,3,0,0,0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indonesia,53,43,14,40,55,25,43,74,33,41,44,28,30,48,29
Iran (Islamic Rep.),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iraq,3,681,3,683,3,620,3,718,3,607,3,834,3,715,3,768,3,705,3,643,3,752,3,768,3,678,3,749,3,642
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,17,0,17
Italy,0,0,7,16,7,14,21,7,7,14,7,7,14,14,21
Jamaica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan,1,180,1,264,1,373,1,540,1,527,1,553,1,371,1,481,1,112,1,240,1,127,1,164,1,186,1,108,0
Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait,1,785,1,813,1,825,1,997,1,890,1,840,1,880,1,860,1,920,1,954,2,000,1,980,1,721,1,679,0
Latvia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0